model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
frozen,0.9013333333333333,0.9027130412658235,0.9037042116285235,0.9030370627454395,0.9011827831357104,0.9013333333333333,0.9010850437963449
finetuned,0.9306666666666666,0.9314580631085346,0.9323516758526429,0.9316690014615534,0.9310279984198692,0.9306666666666666,0.9306188694045615
